year,region_id,region_name,total
2009,1,Andalucía,8302923
2009,2,Aragón,1345473
2009,3,"Asturias, Principado de",1085289
2009,4,"Balears, Illes",1095426
2009,5,Canarias,2103992
2009,6,Cantabria,589235
2009,7,Castilla y León,2563521
2009,8,Castilla - La Mancha,2081313
2009,9,Cataluña,7475420
2009,10,Comunitat Valenciana,5094675
2009,11,Extremadura,1102410
2009,12,Galicia,2796089
2009,13,"Madrid, Comunidad de",6386932
2009,14,"Murcia, Región de",1446520
2009,15,"Navarra, Comunidad Foral de",630578
2009,16,País Vasco,2172175
2009,17,"Rioja, La",321702
2009,18,Ceuta,78674
2009,19,Melilla,73460
2008,1,Andalucía,8202220
2008,2,Aragón,1326918
2008,3,"Asturias, Principado de",1080138
2008,4,"Balears, Illes",1072844
2008,5,Canarias,2075968
2008,6,Cantabria,582138
2008,7,Castilla y León,2557330
2008,8,Castilla - La Mancha,2043100
2008,9,Cataluña,7364078
2008,10,Comunitat Valenciana,5029601
2008,11,Extremadura,1097744
2008,12,Galicia,2784169
2008,13,"Madrid, Comunidad de",6271638
2008,14,"Murcia, Región de",1426109
2008,15,"Navarra, Comunidad Foral de",620377
2008,16,País Vasco,2157112
2008,17,"Rioja, La",317501
2008,18,Ceuta,77389
2008,19,Melilla,71448
2007,1,Andalucía,8059461
2007,2,Aragón,1296655
2007,3,"Asturias, Principado de",1074862
2007,4,"Balears, Illes",1030650
2007,5,Canarias,2025951
2007,6,Cantabria,572824
2007,7,Castilla y León,2528417
2007,8,Castilla - La Mancha,1977304
2007,9,Cataluña,7210508
2007,10,Comunitat Valenciana,4885029
2007,11,Extremadura,1089990
2007,12,Galicia,2772533
2007,13,"Madrid, Comunidad de",6081689
2007,14,"Murcia, Región de",1392117
2007,15,"Navarra, Comunidad Foral de",605876
2007,16,País Vasco,2141860
2007,17,"Rioja, La",308968
2007,18,Ceuta,76603
2007,19,Melilla,69440
2006,1,Andalucía,7975672
2006,2,Aragón,1277471
2006,3,"Asturias, Principado de",1076896
2006,4,"Balears, Illes",1001062
2006,5,Canarias,1995833
2006,6,Cantabria,568091
2006,7,Castilla y León,2523020
2006,8,Castilla - La Mancha,1932261
2006,9,Cataluña,7134697
2006,10,Comunitat Valenciana,4806908
2006,11,Extremadura,1086373
2006,12,Galicia,2767524
2006,13,"Madrid, Comunidad de",6008183
2006,14,"Murcia, Región de",1370306
2006,15,"Navarra, Comunidad Foral de",601874
2006,16,País Vasco,2133684
2006,17,"Rioja, La",306377
2006,18,Ceuta,75861
2006,19,Melilla,66871
